Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,CreatePergunta,3,3,3,3.2594299997678413,2.7960799998254515,3.4968189993378473,0.0,0.7877837384221651,0.7877837384221651,3,3,3,3,3,3,3,3,3,3,3
POST,CreateUser,20,20,7,6.66320695045215,2.262971000163816,10.675889001504402,0.0,5.251891589481101,5.251891589481101,7,8,8,8,10,11,11,11,11,11,11
GET,GetQuiz,21,21,3,2.556784286276698,0.7874760012782644,4.297746001611813,0.0,5.514486168955156,5.514486168955156,3,3,3,4,4,4,4,4,4,4,4
POST,Login,20,20,4,3.953835549964424,1.3113900004100287,6.292003999988083,0.0,5.251891589481101,5.251891589481101,5,5,5,5,6,6,6,6,6,6,6
,Aggregated,64,64,4,4.309556406553838,0.7874760012782644,10.675889001504402,0.0,16.806053086339524,16.806053086339524,4,5,6,7,8,8,10,11,11,11,11
