Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,CreatePergunta,276,0,490.0,756.090612967455,17.445270001189783,3747.653893999086,177.39492753623188,4.9748146367551485,0.0,500,760,930,1100,2000,2800,3200,3500,3700,3700,3700
POST,CreateUser,200,0,310.0,445.34280713500266,27.34716199847753,1622.1835879987339,223.0,3.6049381425761946,0.0,320,540,610,710,1100,1400,1600,1600,1600,1600,1600
GET,GetQuiz,1403,0,420.0,524.7818534283588,14.083501999266446,2258.7924469989957,27170.994297933,25.288641070172005,0.0,420,630,770,850,1100,1500,1800,2000,2200,2300,2300
GET,GetRanking,849,0,340.0,439.61658320377677,12.41898999796831,2315.4369209987635,14523.343934040047,15.302962415235946,0.0,340,520,650,690,930,1100,1400,1600,2300,2300,2300
POST,Login,200,0,150.0,265.4129392401592,16.402231001848122,1217.5743259977025,215.0,3.6049381425761946,0.0,150,280,460,510,680,760,1100,1200,1200,1200,1200
POST,UpdateScore,865,0,490.0,668.5896914403444,18.596161000459688,3718.7709770005313,2.0,15.591357466642043,0.0,490,740,920,1000,1500,2100,2500,2900,3700,3700,3700
,Aggregated,3793,0,400.0,537.4810601238967,12.41898999796831,3747.653893999086,13337.599525441603,68.36765187395753,0.0,400,600,750,850,1200,1600,2100,2500,3600,3700,3700
